Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments;
sw00-0004-fs1;A;B;;Right,  /;Right;;;;;;;;da1: opening;;;
sw00-0004-fs2;A;B;;{F uh, } {D actually } I lived over in Europe for a couple of years,  /;uh;;;;da2: turnKeep;da3: stalling;;;;;;
sw00-0004-fs3;A;B;;;actually I lived over in Europe for a couple of years;da4: inform;;;;;;;;;;
sw00-0004-fs4;A;B;;I lived in Germany  /;I lived in Germany ;da5: inform;;;;;;;;;;
sw00-0004-fs5;A;B;;{C and } in Germany they don't have the jury system.  /;and in Germany they don't have the jury system;da6: inform;;;;;;;;;;
sw00-0004-fs6;A;B;;What they do is they have, {F uh, } three judges, basically.  /;What they do is they have three judges basically;da7: inform;;;;;;;;;;
sw00-0004-fs7;A;B;;;uh;;;;;da8: stalling;;;;;;
sw00-0004-fs8;A;B;;{C And } you get up there  /;And you get up there  ;da9: inform;;;;;;;;;;
sw00-0004-fs9;A;B;;{C and } the prosecuting attorney presents his evidence  /;and the prosecuting attorney presents his evidence  ;da10: inform;;;;;;;;;;
sw00-0004-fs10;A;B;;your defense attorney presents their evidence  /;your defense attorney presents their evidence  ;da11: inform;;;;;;;;;;
sw00-0004-fs11;A;B;;those three guys take the evidence, go off, figure it out and then come back and say whether you're guilty or not. /;those three guys take the evidence go off figure it out and then come back and say whether you're guilty or not;da12: inform;;;;;;;;;;
sw00-0004-fs12;B;A;;<Sneezing> [ [ Ou-, + ou-, ] + our ] judicial system is in such total chaos. /;Ou ou our;;;;da13: turnTake;da14: stalling;;;;;;
sw00-0004-fs13;B;A;;;our judicial system is in such total chaos;da15: inform {Exemp:Set da22,da24,da26,da27,da28,da31};;;;;;;;;;
sw00-0004-fs14;A;B;;<Laughter>. /;<Laughter>;;da16: autoPositive (Fe: da15);;;;;;;;;
sw00-0004-fs15;B;A;;I think what they need to do is, they need to somehow <lipsmack> take the money out of it. /;I think what they need to do is they need to somehow take the money out of it;da17: inform;;;;;;;;;;
sw00-0004-fs16;B;A;;;<lipsmack>;;;;;da18: stalling;;;;;;
sw00-0004-fs17;B;A;;{E I mean, } when you have a man that's signed [ [ a, + a, ] + a ] statement saying he's guilty, - /;I mean;;;;;da19: stalling;;;;;;
sw00-0004-fs18;B;A;;;when you have a man that's signed a statement saying he's guilty;da20: inform;;;;;;;;;;
sw00-0004-fs19;B;A;;;a a a;;;;;da21: stalling;;;;;;
sw00-0004-fs20;B;A;;we have [ a, + a ] family called All day family.  /;we have a family called All day family;da22: inform;;;;;;;;;;
sw00-0004-fs21;B;A;;;a a;;;;;da23: stalling;;;;;;
