Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments;
sw02-0224-fs1;A;B;;Okay. /;Okay;;;;;;;;da1: opening;;;
sw02-0224-fs2;B;A;;All right.  /;All right  ;;da2: autoPositive (Fe: da1);;;;;;;;;
sw02-0224-fs3;B;A;;{F Uh, } do you have any friends that have children? /;Uh,;;;;da3: turnKeep;da4: stalling;;;;;;
sw02-0224-fs4;B;A;;;do you have any friends that have children;da5: propositionalQuestion;;;;;;;;;;
sw02-0224-fs5;A;B;;I do have friends that have children,  /;I do have friends that have children;da6: answer (Fu: da5);;;;;;;;;;
sw02-0224-fs6;A;B;;yes. /;yes ;da7: answer (Fu: da5);;;;;;;;;;
sw02-0224-fs7;B;A;;{C And } what do they say about finding adequate child care? /;And what do they say about finding adequate child care? ;da8: setQuestion;;;;;;;;;;
sw02-0224-fs8;B;A;;I think that may be the key word. /;I think that may be the key word ;da9: inform {Cause:Reason da8};;;;;;;;;;
sw02-0224-fs9;A;B;;I think that's correct.  /;I think that's correct  ;da10: agreement (Fu: da9);;;;;;;;;;
sw02-0224-fs10;A;B;;They're, {F uh, } relatively nonexistent [ from, + {F uh, } from ]  what I hear from my friends.  /;They're, relatively nonexistent from what I hear from my friends;da11: inform;;;;;;;;;;
sw02-0224-fs11;A;B;;;uh;;;;;da12: stalling;;;;;;
sw02-0224-fs12;A;B;;;from uh from;;;;;da13: stalling;;;;;;
sw02-0224-fs13;A;B;;It seems like, {F uh, } even when they have consulted day care centers that are reputable, that are sort of like a chain, if I can use that word --;It seems like even when they have consulted day care centers that are reputable, that are sort of like a chain, if I can use that word, still you have to deal with the people that, happen to be operating it locally ;da14: inform {Elab:Specific da11};;;;;;;;;;
sw02-0224-fs14;A;B;;;uh;;;;;da15: stalling;;;;;;
sw02-0224-fs15;B;A;;Right. /;Right ;;da16: autoPositive (Fe: da14);;;;;;;;;
sw02-0224-fs16;A;B;; -- {F uh, } still you have to deal with the people that, {D you know, } happen to be operating it locally  /;uh;;;;;da17: stalling;;;;;;
sw02-0224-fs17;A;B;;;you know;;;;;da18: stalling;;;;;;
sw02-0224-fs18;A;B;;{C and, }  {F uh, } it's just a matter [ of, + of ] trust, {D you know, }  /;and;;;;da19: turnKeep;;;;;;;
sw02-0224-fs19;A;B;;;uh;;;;;da20: stalling;;;;;;
sw02-0224-fs20;A;B;;;it's just a matter of trust, you know;da21: inform;;;;;;;;;;
sw02-0224-fs21;A;B;;;of, of;;;;;da22: stalling;;;;;;
sw02-0224-fs22;A;B;;I think they feel that these people are, {F um, } under qualified basically and  underpaid,  /;I think they feel that these people are under qualified basically and  underpaid, ;da23: inform;;;;;;;;;;
sw02-0224-fs23;A;B;;;um;;;;;da24: stalling;;;;;;
sw02-0224-fs24;A;B;;{C and } I think that sort of goes hand in hand  /;and;;;;da25: turnKeep;;;;;;;
sw02-0224-fs25;A;B;;;I think that sort of goes hand in hand ;da26: inform {Expand:Expander da23};;;;;;;;;;
sw02-0224-fs26;A;B;;{C so } [ it's, + it's ] difficult for them. /;it's, it's;;;;;da27: stalling;;;;;;
sw02-0224-fs27;A;B;;;so it's difficult for them;da28: inform;;;;;;;;;;
sw02-0224-fs28;B;A;;{D Well, } we certainly found that to be true. /;Well;;;;da29: turnTake;;;;;;;
sw02-0224-fs29;B;A;;;we certainly found that to be true ;da30: agreement (Fu: da28);;;;;;;;;;
sw02-0224-fs30;A;B;;Huh-uh. /;Huh-uh ;;da31: autoPositive (Fe: da30);;;;;;;;;
sw02-0224-fs31;B;A;;{F Uh, } indeed we've, - /;Uh;;;;;da32: stalling;;;;;;
sw02-0224-fs32;B;A;;;indeed we've, - ;;;;;;da33: retraction;;;;;
sw02-0224-fs33;B;A;;our children are now eleven and nine. /;our children are now eleven and nine ;da34: inform;;;;;;;;;;
sw02-0224-fs34;A;B;;Huh-uh. /;Huh-uh ;;da35: autoPositive (Fe: da34);;;;;;;;;
sw02-0224-fs35;B;A;;{C And } we moved away from institutionalized child care --;And;;;;da36: turnKeep;;;;;;;
sw02-0224-fs36;B;A;;;we moved away from institutionalized child care --;da37: inform;;;;;;;;;;
sw02-0224-fs37;A;B;;Huh-uh. /;Huh-uh ;;da38: autoPositive (Fe: da37);;;;;;;;;
sw02-0224-fs38;B;A;; -- if we can call those chain kind of things;if we can call those chain kind of things, like that Uh, by that name;;;;;;da39: Inform;;;;;
sw02-0224-fs39;A;B;;Right. /;Right ;;da40: autoPositive (Fe: da39);;;;;;;;;
sw02-0224-fs40;B;A;;like that.  {F Uh, } by that name.;uh;;;;;da41: stalling;;;;;;
sw02-0224-fs41;B;A;;;like that, by that name;;;;;;da42: selfCorrection;;;;;
sw02-0224-fs42;A;B;;Right. /;Right ;;da43: autoPositive (Fe: da42);;;;;;;;;
sw02-0224-fs43;B;A;;And found that, {F uh, } more creative avenues were the right answer for us. /;And found that more creative avenues were the right answer for us;da44: inform {Expand:Expander da37};;;;;;;;;;
sw02-0224-fs44;B;A;;;uh;;;;;da45: stalling;;;;;;
sw02-0224-fs45;A;B;;Huh-uh.  /;Huh-uh  ;;da46: autoPositive (Fe: da44);;;;;;;;;
sw02-0224-fs46;A;B;;Huh-uh. /;Huh-uh ;;da47: autoPositive (Fe: da44);;;;;;;;;
sw02-0224-fs47;B;A;;{F Uh, } at one point in time we've had au pairs,;Uh;;;;;da48: stalling;;;;;;
sw02-0224-fs48;B;A;;;at one point in time we've had au pairs,;da49: inform;;;;;;;;;;
sw02-0224-fs49;A;B;;Huh-uh. /;Huh-uh ;;da50: autoPositive (Fe: da49);;;;;;;;;
sw02-0224-fs50;B;A;;by trading services with them, /;by trading services with them, ;da51: inform {Manner:Means da49};;;;;;;;;;
sw02-0224-fs51;A;B;; # Huh-uh.  # /;Huh-uh   ;;da52: autoPositive (Fe: da51);;;;;;;;;
sw02-0224-fs52;B;A;;# {C and } # that worked for a while,  /;and;;;;da53: turnKeep;;;;;;;
sw02-0224-fs53;B;A;;;that worked for a while,  ;da54: inform {Expand:Expander da49};;;;;;;;;;
